actor_2_name,actor_2_name,proportion
Ashley Ashida Dixon,1,0.026624068157614485
Ashley Bell,1,0.026624068157614485
Ashley Laurence,1,0.026624068157614485
Ashley Palmer,1,0.026624068157614485
Ashley Scott,3,0.07987220447284345
Ashley Williams,1,0.026624068157614485
Ashraf Barhom,1,0.026624068157614485
Atticus Shaffer,2,0.05324813631522897
Audrey Fleurot,1,0.026624068157614485
Austin O'Brien,1,0.026624068157614485
Austin Pendleton,3,0.07987220447284345
Ayelet Zurer,1,0.026624068157614485
Bai Ling,2,0.05324813631522897
Bailee Madison,1,0.026624068157614485
Balinese Tari Legong Dancers,1,0.026624068157614485
Barbara Hershey,3,0.07987220447284345
Barney Clark,1,0.026624068157614485
Barry Bostwick,1,0.026624068157614485
Barry Corbin,2,0.05324813631522897
Barry Watson,1,0.026624068157614485
Bashar Rahal,1,0.026624068157614485
Basher Savage,1,0.026624068157614485
Beau Bridges,3,0.07987220447284345
Beau Garrett,1,0.026624068157614485
Bella Heathcote,2,0.05324813631522897
Belén Rueda,1,0.026624068157614485
Ben Crompton,2,0.05324813631522897
Ben Cross,2,0.05324813631522897
Ben Daniels,1,0.026624068157614485
Ben Falcone,1,0.026624068157614485
Ben Feldman,1,0.026624068157614485
Ben Gazzara,1,0.026624068157614485
Ben Mendelsohn,2,0.05324813631522897
Ben Miles,2,0.05324813631522897
Benedict Cumberbatch,2,0.05324813631522897
Benedict Wong,2,0.05324813631522897
Benjamin J. Cain Jr.,1,0.026624068157614485
Benjamin Walker,1,0.026624068157614485
Benoît Magimel,1,0.026624068157614485
Benoît Poelvoorde,1,0.026624068157614485
Bern Cohen,1,0.026624068157614485
Bernard Hill,1,0.026624068157614485
Bernardo Saracino,1,0.026624068157614485
Bernie Mac,3,0.07987220447284345
Bessie Love,1,0.026624068157614485
Beth Grant,2,0.05324813631522897
Beth Riesgraf,1,0.026624068157614485
Bethany Joy Lenz,1,0.026624068157614485
Betsy Russell,1,0.026624068157614485
Beverly D'Angelo,2,0.05324813631522897
Bill Bailey,1,0.026624068157614485
