plot_keywords,plot_keywords,proportion
1960s|car hitting an animal|folk singer|friend|singer,1,0.026624068157614485
1960s|death|girl group|nightclub|sister,1,0.026624068157614485
1960s|escape|mental institution|nurse|sexuality,1,0.026624068157614485
1960s|famous score|hero|vietnam|vietnam war,1,0.026624068157614485
1960s|father daughter incest|mental hospital|suicide|suicide attempt,1,0.026624068157614485
1960s|fire|pop chart|singer|trio,1,0.026624068157614485
1969 dodge charger|bikini|farm|misogynist|tow truck,1,0.026624068157614485
1970s|1980s|african american|breaking the fourth wall|mother son relationship,1,0.026624068157614485
1970s|1980s|barrio|gang war|mexican,1,0.026624068157614485
1970s|1980s|nonlinear timeline|rescue|vietnam war,1,0.026624068157614485
1970s|adult entertainment industry|nightclub|porn industry|san fernando valley california,1,0.026624068157614485
1970s|afterlife|heaven|pedophile|rape,2,0.05324813631522897
1970s|anchorman|news anchor|newsroom|tv station,1,0.026624068157614485
1970s|assassination|doctor|scottish|ugandan,1,0.026624068157614485
1970s|based on true story|new york city|skyscraper|tightrope walker,1,0.026624068157614485
1970s|cia|f word|u.s. embassy|year 1979,1,0.026624068157614485
1970s|clark kent|planet|superhero|year 1978,1,0.026624068157614485
1970s|cult film|official james bond series|submarine|world war three,1,0.026624068157614485
1970s|death|district attorney|fiancee|watching television,1,0.026624068157614485
1970s|family relationships|mob hit|opera|repeating history,1,0.026624068157614485
1970s|female rear nudity|formula 1|rivalry|sex with a nurse,1,0.026624068157614485
1970s|flashback|love|money|murder,1,0.026624068157614485
1970s|mother's boyfriend|overalls|phone booth|sexual promiscuity,1,0.026624068157614485
1970s|skateboarder|skateboarding|surf|swimming pool,1,0.026624068157614485
1980s|80s action|escape|plea bargain|prison,1,0.026624068157614485
1980s|airport|cb radio|truck|truck driver,1,0.026624068157614485
1980s|argument|critique of capitalism|f word|fired from the job,1,0.026624068157614485
1980s|arms dealer|immorality|ukrainian|warlord,1,0.026624068157614485
1980s|baby|heroin|package|questioned by police,1,0.026624068157614485
1980s|buddy|high school|prequel to cult favorite|teenager,1,0.026624068157614485
1980s|business card|male rear nudity|materialism|narcissism,1,0.026624068157614485
1980s|c 130 hercules|monster|panzer|san francisco california,1,0.026624068157614485
1980s|death|insanity|parallel universe|time travel,1,0.026624068157614485
1980s|forest|lycanthrope|shapeshifting|werewolf transformation,1,0.026624068157614485
1980s|friend|friendship|loyalty|mafia,1,0.026624068157614485
1980s|hockey|ice hockey|olympics|soviet union,1,0.026624068157614485
1980s|law firm|lawsuit|lawyer|toxic waste,1,0.026624068157614485
1980s|mission|prison|rambo|vietnam,1,0.026624068157614485
1988 winter olympics|coach|ski jumper|winter|winter olympics,2,0.05324813631522897
1990s|bar|car accident|nightclub|whipped cream,1,0.026624068157614485
1990s|blade|blood|vampire|vampire hunter,1,0.026624068157614485
1990s|caught in a net|children|duel|hero,1,0.026624068157614485
1990s|chick flick|funeral|gay relationship|wedding,1,0.026624068157614485
1990s|christmas|christmas eve|sleigh|surrealism,1,0.026624068157614485
1990s|dagger|japan|mousetrap|stick fight,1,0.026624068157614485
1990s|dentist|hit with a door|martial arts|museum,1,0.026624068157614485
1990s|escape|graduation|hustler|street,1,0.026624068157614485
1990s|evangelist|professional rivalry|swimming pool|televangelist,1,0.026624068157614485
1990s|family relationships|food in title|sister|unity,1,0.026624068157614485
1990s|first love|milf|prom|virginity,1,0.026624068157614485
1990s|high school|high school teacher|teacher inspires students|teaching,1,0.026624068157614485
1990s|police|prison|rescue|year 1997,1,0.026624068157614485
19th century|around the world|inventor|martial arts|train,2,0.05324813631522897
19th century|ball|boy|inventor|steam,1,0.026624068157614485
19th century|butler|housemaid|laboratory|servant,1,0.026624068157614485
19th century|california|revenge|training|zorro,1,0.026624068157614485
19th century|chinese|princess|rescue|travel,1,0.026624068157614485
19th century|colombia|love|marriage|widow,1,0.026624068157614485
19th century|countess|lawyer|love|new york,1,0.026624068157614485
19th century|courtship|female protagonist|princess|queen of england,1,0.026624068157614485
19th century|exhibition|gilbert and sullivan|gilbert and sullivan's princess ida|japanese,1,0.026624068157614485
19th century|friend|john keats|passion|poet,1,0.026624068157614485
19th century|hotel|painter|waiter|woman pretending to be a man,1,0.026624068157614485
1st century|based on the bible|miracle|religion|resurrection,1,0.026624068157614485
20 years later|drummer|hdtv|rock band|rock star,1,0.026624068157614485
2000s|army|military crime|necklace yanked off|panama,1,0.026624068157614485
2000s|bedtime story|elephant|handyman|tween girl,1,0.026624068157614485
2000s|box office hit|comeback|rehearsal|year 2009,1,0.026624068157614485
2000s|coke|meeting future self|reference to spongebob squarepants|sony,1,0.026624068157614485
2000s|detective|sadist|terrorism|terrorist,1,0.026624068157614485
2000s|golf caddy|golf course|golfer|question mark in title,1,0.026624068157614485
2010s|3 dimensional|breath holding contest|child spy|spy,1,0.026624068157614485
2010s|a cappella|box office hit|second part|sequel,1,0.026624068157614485
2010s|ape|ballet|psychic|supernatural,1,0.026624068157614485
2010s|car accident|sex scene|teddy bear|testicle,1,0.026624068157614485
2030s|21st century|desert|jet|tank,1,0.026624068157614485
21 year old|forename as title|musician|party|rearview mirror,1,0.026624068157614485
21st birthday|college student|drunken man|pubic hair|standing up to father,1,0.026624068157614485
21st century|borg|borg sphere|captain|sphere,1,0.026624068157614485
22 year old|b.a.r.t.|bay area|birthday|police,1,0.026624068157614485
23 year time span|accidental death|best friend|loss of loved one|male female friendship,1,0.026624068157614485
23rd century|android|artificial intelligence|dual role|robot,1,0.026624068157614485
23rd century|bare chested male bondage|enterprise the starship|rescue|sacrifice,1,0.026624068157614485
27th century|fighter pilot|orchestral music score|outer space|space opera,1,0.026624068157614485
3 dimensional|box office flop|critically bashed|dancing,1,0.026624068157614485
3 dimensional|box office flop|critically bashed|red riding hood|wolf,1,0.026624068157614485
3 dimensional|cartographer|punctuation in title|smithsonian|train,1,0.026624068157614485
3 dimensional|concert footage|englishman abroad|reference to keith richards|reference to the doors,1,0.026624068157614485
3 dimensional|dance|dancer|dancing|flash mob,1,0.026624068157614485
35 mm digital camera|drugs|murder|train|travel,1,0.026624068157614485
