actor_3_name,actor_3_name,proportion
50 Cent,1,0.026624068157614485
A.J. Buckley,3,0.07987220447284345
Aaliyah,1,0.026624068157614485
Aaron Stanford,2,0.05324813631522897
Aaron Yoo,2,0.05324813631522897
Aasif Mandvi,2,0.05324813631522897
Abbie Cornish,1,0.026624068157614485
Abby Mukiibi Nkaaga,1,0.026624068157614485
Abraham Benrubi,1,0.026624068157614485
Adam Copeland,1,0.026624068157614485
Adam Hicks,1,0.026624068157614485
Adam Scott,1,0.026624068157614485
Adam Trese,1,0.026624068157614485
Adrian Alonso,1,0.026624068157614485
Adrian Pasdar,1,0.026624068157614485
Adriane Lenox,1,0.026624068157614485
Agnes Bruckner,3,0.07987220447284345
Ah-sung Ko,1,0.026624068157614485
Ahmad Massad,1,0.026624068157614485
Ahmet Ertegun,1,0.026624068157614485
Ahney Her,1,0.026624068157614485
Aida Folch,1,0.026624068157614485
Aida Turturro,1,0.026624068157614485
Aidan Quinn,3,0.07987220447284345
Aimee Teegarden,1,0.026624068157614485
Aisha Hinds,1,0.026624068157614485
Ajay Naidu,1,0.026624068157614485
Al Cliver,1,0.026624068157614485
Al Freeman Jr.,1,0.026624068157614485
Al Leong,1,0.026624068157614485
Al Roker,1,0.026624068157614485
Alan Bates,1,0.026624068157614485
Alan D. Purwin,1,0.026624068157614485
Alan David,1,0.026624068157614485
Alan Ford,1,0.026624068157614485
Alan Oppenheimer,1,0.026624068157614485
Alan Ruck,1,0.026624068157614485
Alan Van Sprang,1,0.026624068157614485
Alanna Ubach,1,0.026624068157614485
Alastair Duncan,1,0.026624068157614485
Alba Rohrwacher,1,0.026624068157614485
Albert Brooks,5,0.13312034078807242
Albert Dupontel,1,0.026624068157614485
Albert Finney,2,0.05324813631522897
Albert Salmi,1,0.026624068157614485
Alden Ehrenreich,1,0.026624068157614485
Aldo Sambrell,1,0.026624068157614485
Alessandra Mastronardi,1,0.026624068157614485
Alessandro Nivola,1,0.026624068157614485
Alex Borstein,4,0.10649627263045794
Alex Jennings,2,0.05324813631522897
Alex Karpovsky,1,0.026624068157614485
Alex Rocco,3,0.07987220447284345
Alex Russell,2,0.05324813631522897
Alex Winter,1,0.026624068157614485
Alexa Davalos,2,0.05324813631522897
Alexa Havins,1,0.026624068157614485
Alexa PenaVega,1,0.026624068157614485
Alexander Gould,1,0.026624068157614485
Alexander Skarsgård,1,0.026624068157614485
Alexandra Maria Lara,3,0.07987220447284345
Alexandra Silber,1,0.026624068157614485
Alexandre Rodrigues,1,0.026624068157614485
Alexandru Potocean,1,0.026624068157614485
Alexis Dziena,1,0.026624068157614485
Alfre Woodard,2,0.05324813631522897
Ali Hillis,1,0.026624068157614485
Alia Shawkat,2,0.05324813631522897
Alice Braga,1,0.026624068157614485
Alice Evans,1,0.026624068157614485
Alice Greczyn,2,0.05324813631522897
Alice Krige,2,0.05324813631522897
Alice Playten,1,0.026624068157614485
Alicia Sixtos,1,0.026624068157614485
Alicja Bachleda,2,0.05324813631522897
Alisha Boe,1,0.026624068157614485
Alison Brie,1,0.026624068157614485
Alison Doody,1,0.026624068157614485
Alison Lohman,1,0.026624068157614485
Alissa Dean,1,0.026624068157614485
Allen Covert,2,0.05324813631522897
Allen Leech,1,0.026624068157614485
Allen Payne,1,0.026624068157614485
Allison Tolman,1,0.026624068157614485
Ally Sheedy,1,0.026624068157614485
Alyson Stoner,1,0.026624068157614485
Amanda Detmer,1,0.026624068157614485
Amanda Plummer,1,0.026624068157614485
Amanda Wyss,2,0.05324813631522897
Amber Armstrong,1,0.026624068157614485
Amber Stevens West,1,0.026624068157614485
Amber Valletta,1,0.026624068157614485
Amelia Giancarlo,1,0.026624068157614485
Amelia Warner,1,0.026624068157614485
America Ferrera,2,0.05324813631522897
Amr Waked,1,0.026624068157614485
Amy Brenneman,1,0.026624068157614485
Amy Hargreaves,1,0.026624068157614485
Amy Irving,1,0.026624068157614485
Amy Locane,1,0.026624068157614485
Amy Madigan,1,0.026624068157614485
Amy Poehler,1,0.026624068157614485
Amy Ryan,1,0.026624068157614485
Amy Sedaris,3,0.07987220447284345
Amy Steel,1,0.026624068157614485
Amy Warren,1,0.026624068157614485
Ana Gasteyer,1,0.026624068157614485
Ana Imnadze,1,0.026624068157614485
Ana de la Reguera,1,0.026624068157614485
Anders Holm,1,0.026624068157614485
Andre Braugher,3,0.07987220447284345
Andrea Di Stefano,1,0.026624068157614485
Andrea Martin,4,0.10649627263045794
Andrea Ros,1,0.026624068157614485
Andrea Savage,1,0.026624068157614485
Andrew Airlie,1,0.026624068157614485
Andrew Bryniarski,2,0.05324813631522897
Andrew Daly,1,0.026624068157614485
Andrew Dice Clay,1,0.026624068157614485
Andrew Garfield,1,0.026624068157614485
Andrew Keegan,1,0.026624068157614485
Andrew Rannells,1,0.026624068157614485
André Dussollier,1,0.026624068157614485
André Ramiro,1,0.026624068157614485
André the Giant,1,0.026624068157614485
Andy Cohn,1,0.026624068157614485
Andy Davoli,1,0.026624068157614485
Andy Dick,1,0.026624068157614485
Andy Lau,1,0.026624068157614485
Andy Richter,3,0.07987220447284345
Ane Dahl Torp,1,0.026624068157614485
Angel Coulby,1,0.026624068157614485
Angel David,1,0.026624068157614485
Angela Bettis,1,0.026624068157614485
Angela Featherstone,1,0.026624068157614485
Angela Sarafyan,1,0.026624068157614485
Angelina Jolie Pitt,1,0.026624068157614485
Angell Conwell,1,0.026624068157614485
Angelo Anthony Pizza,1,0.026624068157614485
Angelo Rossitto,1,0.026624068157614485
Angie Dickinson,1,0.026624068157614485
Angus Barnett,1,0.026624068157614485
Angus Macfadyen,2,0.05324813631522897
Angus Sampson,1,0.026624068157614485
Angus T. Jones,1,0.026624068157614485
Anika Noni Rose,2,0.05324813631522897
Anil Kumar,1,0.026624068157614485
Anita Briem,2,0.05324813631522897
Ann Talman,1,0.026624068157614485
Ann-Margret,2,0.05324813631522897
Anna Katarina,1,0.026624068157614485
Anna Kendrick,4,0.10649627263045794
Anna Vareschi,1,0.026624068157614485
Anne Archer,3,0.07987220447284345
Anne Bancroft,2,0.05324813631522897
Anne Hathaway,7,0.1863684771033014
Anne Heche,5,0.13312034078807242
Anne Meara,1,0.026624068157614485
Anne-Marie Duff,2,0.05324813631522897
Anneliese van der Pol,1,0.026624068157614485
Annie Golden,1,0.026624068157614485
Annie Parisse,1,0.026624068157614485
Anthony Burrell,1,0.026624068157614485
Anthony Chau-Sang Wong,1,0.026624068157614485
Anthony Daniels,1,0.026624068157614485
Anthony Edwards,2,0.05324813631522897
Anthony Heald,2,0.05324813631522897
Anthony Hopkins,2,0.05324813631522897
Anthony Johnson,1,0.026624068157614485
Anthony LaPaglia,2,0.05324813631522897
Anthony Powell,1,0.026624068157614485
Anthony Reynolds,1,0.026624068157614485
Anthony Zerbe,1,0.026624068157614485
Antoni Corone,1,0.026624068157614485
Antonio Sabato Jr.,1,0.026624068157614485
Anupam Kher,2,0.05324813631522897
April Winchell,3,0.07987220447284345
Ara Celi,1,0.026624068157614485
Aramis Knight,1,0.026624068157614485
Arben Bajraktaraj,1,0.026624068157614485
Archie Panjabi,1,0.026624068157614485
Ariana Neal,1,0.026624068157614485
Ariel Gade,1,0.026624068157614485
Aries Spears,1,0.026624068157614485
Armando Riesco,2,0.05324813631522897
Armin Mueller-Stahl,2,0.05324813631522897
Armin Rohde,1,0.026624068157614485
Art Malik,3,0.07987220447284345
Ashley Bell,1,0.026624068157614485
Ashley Gerasimovich,1,0.026624068157614485
Ashley Hinshaw,1,0.026624068157614485
Ashley Scott,1,0.026624068157614485
Ashley Walters,1,0.026624068157614485
Ashley Williams,1,0.026624068157614485
Athina Rachel Tsangari,1,0.026624068157614485
Ato Essandoh,2,0.05324813631522897
Atticus Shaffer,1,0.026624068157614485
August Diehl,1,0.026624068157614485
Augustus Prew,1,0.026624068157614485
Aunjanue Ellis,1,0.026624068157614485
Austin Lyon,1,0.026624068157614485
Austin Nichols,1,0.026624068157614485
Ayla Kell,1,0.026624068157614485
