actor_1_name,actor_1_name,proportion
50 Cent,1,0.026624068157614485
Aaliyah,1,0.026624068157614485
Aasif Mandvi,1,0.026624068157614485
Abbie Cornish,3,0.07987220447284345
Adam Arkin,1,0.026624068157614485
Adam Baldwin,4,0.10649627263045794
Adam Garcia,3,0.07987220447284345
Adam Goldberg,4,0.10649627263045794
Adam LeFevre,1,0.026624068157614485
Adam Sandler,14,0.3727369542066028
Adam Scott,8,0.21299254526091588
Adrian Martinez,1,0.026624068157614485
Adriana Barraza,1,0.026624068157614485
Adriana Caselotti,1,0.026624068157614485
Ahna O'Reilly,1,0.026624068157614485
Aidan Quinn,2,0.05324813631522897
Aidan Turner,3,0.07987220447284345
Aimee Garcia,1,0.026624068157614485
Aisha Tyler,1,0.026624068157614485
Aksel Hennie,1,0.026624068157614485
Al Pacino,13,0.34611288604898827
Alan Rickman,8,0.21299254526091588
Alan Ruck,1,0.026624068157614485
Alanna Ubach,1,0.026624068157614485
Albert Brooks,2,0.05324813631522897
Albert Finney,2,0.05324813631522897
Alden Ehrenreich,1,0.026624068157614485
Aldis Hodge,1,0.026624068157614485
Alessandro Nivola,1,0.026624068157614485
Alex Gibney,1,0.026624068157614485
Alex Huszar,1,0.026624068157614485
Alex Kendrick,1,0.026624068157614485
Alex Pettyfer,5,0.13312034078807242
Alex Rocco,1,0.026624068157614485
Alex Veadov,1,0.026624068157614485
Alexa PenaVega,7,0.1863684771033014
Alexander Gould,2,0.05324813631522897
Alexander Skarsgård,4,0.10649627263045794
Alexia Fast,1,0.026624068157614485
Alexis Arquette,1,0.026624068157614485
Alexis Dziena,1,0.026624068157614485
Alfre Woodard,7,0.1863684771033014
Alia Shawkat,1,0.026624068157614485
Alice Braga,3,0.07987220447284345
Alice Greczyn,1,0.026624068157614485
Alice Krige,1,0.026624068157614485
Alice Olivia Clarke,1,0.026624068157614485
Alicia Goranson,1,0.026624068157614485
Alicia Witt,5,0.13312034078807242
Alicja Bachleda,1,0.026624068157614485
Alison Brie,3,0.07987220447284345
Alison Lohman,2,0.05324813631522897
Allison Dean,1,0.026624068157614485
Ally Walker,1,0.026624068157614485
Alona Tal,1,0.026624068157614485
Alun Armstrong,1,0.026624068157614485
Alyson Hannigan,7,0.1863684771033014
Alyson Stoner,1,0.026624068157614485
Amanda Detmer,1,0.026624068157614485
Amanda Schull,1,0.026624068157614485
Amber Stevens West,1,0.026624068157614485
Amber Valletta,1,0.026624068157614485
America Ferrera,2,0.05324813631522897
America Olivo,1,0.026624068157614485
Amir Talai,1,0.026624068157614485
Amy Poehler,8,0.21299254526091588
Amy Schumer,1,0.026624068157614485
Ana de la Reguera,1,0.026624068157614485
Anamaria Marinca,1,0.026624068157614485
Andrea Corr,1,0.026624068157614485
Andrew Fiscella,2,0.05324813631522897
Andrew Garfield,3,0.07987220447284345
Andrew Robinson,1,0.026624068157614485
Andrew Wilson,1,0.026624068157614485
Andy Dick,1,0.026624068157614485
Andy Lau,1,0.026624068157614485
